method,spearman_rho,spjf_total,spjf_ratio_tc,prr_total,prr_ratio_tc,prr_lambda
M1,0.6603340826293338,106804475670.0,2.6685175507815666,99275051566.08136,2.480394344871495,0.7
M3,0.5794071916805014,128218301082.0,3.203543527762652,102941629146.33456,2.5720040509519695,0.7
M4,0.6489007601276389,115254942641.0,2.879653079353311,100233743375.90938,2.504347329091193,0.7
M5,0.7266981348562855,82067662939.0,2.050466495252515,83620784618.2818,2.089271352761188,0.7
M6,0.5666768675652043,126147668274.0,3.1518086172665356,105162349621.6534,2.6274889126732917,0.7
M7,0.5841957315415912,117978846789.0,2.9477100215365533,102059130341.38402,2.549954754470888,0.7
