method,spearman,spjf_ratio_srpt,prr_ratio_srpt,spjf_reduction_fifo_pct,prr_reduction_fifo_pct
M1,0.5963776166267565,3.1185253154859978,2.6990616563928045,49.466079517292314,56.26324838705909
M3,0.5385058630325685,3.309898797434716,2.6165998184312174,46.36498161333373,57.5994953438228
M4,0.5862465999980893,2.872961151582931,2.5605795330889323,53.44530645204184,58.50727205188665
M5,0.501484668875116,2.6274876869812833,2.288016105219147,57.42306365644705,62.92400662898577
M6,0.42173554143218717,3.776186310488103,2.7416790972226983,38.8090589502377,55.5726571145176
M7,0.43978328397248456,3.6406509966579246,2.6968977750527228,41.00533125166221,56.298312847504775
