p_star_sorted,cdf
4.0,0.0004914004914004914
8.0,0.0009828009828009828
10.0,0.0014742014742014742
10.0,0.0019656019656019656
10.0,0.002457002457002457
11.0,0.0029484029484029483
12.0,0.0034398034398034397
13.0,0.003931203931203931
13.0,0.004422604422604423
14.0,0.004914004914004914
14.0,0.005405405405405406
15.0,0.005896805896805897
15.0,0.0063882063882063885
15.0,0.0068796068796068794
15.0,0.007371007371007371
15.0,0.007862407862407862
15.0,0.008353808353808353
15.0,0.008845208845208846
15.0,0.009336609336609337
16.0,0.009828009828009828
16.0,0.010319410319410319
16.0,0.010810810810810811
16.0,0.011302211302211302
16.0,0.011793611793611793
16.0,0.012285012285012284
16.0,0.012776412776412777
16.0,0.013267813267813268
17.0,0.013759213759213759
17.0,0.01425061425061425
17.0,0.014742014742014743
17.0,0.015233415233415233
17.0,0.015724815724815724
17.0,0.016216216216216217
17.0,0.016707616707616706
17.0,0.0171990171990172
18.0,0.01769041769041769
18.0,0.01818181818181818
18.0,0.018673218673218674
18.0,0.019164619164619166
18.0,0.019656019656019656
18.0,0.020147420147420148
18.0,0.020638820638820637
18.0,0.02113022113022113
19.0,0.021621621621621623
19.0,0.022113022113022112
19.0,0.022604422604422605
19.0,0.023095823095823097
19.0,0.023587223587223587
19.0,0.02407862407862408
19.0,0.02457002457002457
19.0,0.02506142506142506
20.0,0.025552825552825554
20.0,0.026044226044226043
20.0,0.026535626535626536
20.0,0.02702702702702703
20.0,0.027518427518427518
20.0,0.02800982800982801
20.0,0.0285012285012285
20.0,0.028992628992628992
21.0,0.029484029484029485
21.0,0.029975429975429974
21.0,0.030466830466830467
21.0,0.03095823095823096
21.0,0.03144963144963145
21.0,0.03194103194103194
21.0,0.032432432432432434
22.0,0.03292383292383293
22.0,0.03341523341523341
22.0,0.033906633906633905
22.0,0.0343980343980344
22.0,0.03488943488943489
22.0,0.03538083538083538
22.0,0.03587223587223587
23.0,0.03636363636363636
23.0,0.036855036855036855
23.0,0.03734643734643735
23.0,0.03783783783783784
23.0,0.03832923832923833
23.0,0.03882063882063882
23.0,0.03931203931203931
23.0,0.039803439803439804
24.0,0.040294840294840296
24.0,0.04078624078624079
24.0,0.041277641277641275
24.0,0.04176904176904177
24.0,0.04226044226044226
24.0,0.04275184275184275
24.0,0.043243243243243246
24.0,0.04373464373464373
24.0,0.044226044226044224
24.0,0.04471744471744472
24.0,0.04520884520884521
24.0,0.0457002457002457
24.0,0.046191646191646195
24.0,0.04668304668304668
24.0,0.04717444717444717
25.0,0.047665847665847666
25.0,0.04815724815724816
25.0,0.04864864864864865
25.0,0.04914004914004914
25.0,0.04963144963144963
25.0,0.05012285012285012
25.0,0.050614250614250615
25.0,0.05110565110565111
25.0,0.051597051597051594
25.0,0.052088452088452086
26.0,0.05257985257985258
26.0,0.05307125307125307
26.0,0.053562653562653564
26.0,0.05405405405405406
26.0,0.05454545454545454
26.0,0.055036855036855035
26.0,0.05552825552825553
26.0,0.05601965601965602
26.0,0.056511056511056514
26.0,0.057002457002457
27.0,0.05749385749385749
27.0,0.057985257985257985
27.0,0.05847665847665848
27.0,0.05896805896805897
27.0,0.05945945945945946
27.0,0.05995085995085995
27.0,0.06044226044226044
27.0,0.060933660933660934
27.0,0.06142506142506143
28.0,0.06191646191646192
28.0,0.062407862407862405
28.0,0.0628992628992629
28.0,0.06339066339066339
28.0,0.06388206388206388
28.0,0.06437346437346438
28.0,0.06486486486486487
28.0,0.06535626535626536
29.0,0.06584766584766585
29.0,0.06633906633906633
29.0,0.06683046683046683
29.0,0.06732186732186732
29.0,0.06781326781326781
29.0,0.0683046683046683
29.0,0.0687960687960688
29.0,0.06928746928746929
29.0,0.06977886977886978
30.0,0.07027027027027027
30.0,0.07076167076167077
30.0,0.07125307125307126
30.0,0.07174447174447174
30.0,0.07223587223587223
30.0,0.07272727272727272
30.0,0.07321867321867322
30.0,0.07371007371007371
30.0,0.0742014742014742
30.0,0.0746928746928747
31.0,0.07518427518427519
31.0,0.07567567567567568
31.0,0.07616707616707617
31.0,0.07665847665847667
31.0,0.07714987714987714
31.0,0.07764127764127764
31.0,0.07813267813267813
31.0,0.07862407862407862
31.0,0.07911547911547911
31.0,0.07960687960687961
31.0,0.0800982800982801
32.0,0.08058968058968059
32.0,0.08108108108108109
32.0,0.08157248157248158
32.0,0.08206388206388206
32.0,0.08255528255528255
32.0,0.08304668304668304
32.0,0.08353808353808354
32.0,0.08402948402948403
32.0,0.08452088452088452
32.0,0.08501228501228501
32.0,0.0855036855036855
33.0,0.085995085995086
33.0,0.08648648648648649
33.0,0.08697788697788698
33.0,0.08746928746928746
33.0,0.08796068796068796
33.0,0.08845208845208845
33.0,0.08894348894348894
33.0,0.08943488943488943
33.0,0.08992628992628993
33.0,0.09041769041769042
33.0,0.09090909090909091
33.0,0.0914004914004914
34.0,0.0918918918918919
34.0,0.09238329238329239
34.0,0.09287469287469287
34.0,0.09336609336609336
34.0,0.09385749385749385
34.0,0.09434889434889435
34.0,0.09484029484029484
34.0,0.09533169533169533
34.0,0.09582309582309582
34.0,0.09631449631449632
34.0,0.09680589680589681
34.0,0.0972972972972973
