model,cov25,rmsle,spearman
"Meta-base (M5, uncal.)",29.112276293990202,1.4473054305681845,0.7196287263593456
Meta+Cal (isotonic),29.915160121615962,1.4544061669642625,0.7197789334412747
Coverage-opt (Task2),30.89,1.513,0.668
