bucket,n,base_cov25,base_cov50,metacal_cov25,metacal_cov50
New(0),52752,12.390051562026084,26.40847740370033,12.742644828632091,27.511753108886865
1-4,4918,26.148840992273282,47.5396502643351,27.71451809678731,49.00366002440016
5-49,43052,46.348601690978356,69.4439282727864,47.18479977701384,70.15469664591657
>=50,9132,46.04686815593517,73.9706526500219,48.88304862023653,77.17915024091108
